[ 2024-10-24 12:48:10,918 ] 97 werkzeug - WARNING -  * Debugger is active!
[ 2024-10-24 12:48:11,001 ] 97 werkzeug - INFO -  * Debugger PIN: 291-409-662
[ 2024-10-24 12:50:13,194 ] 97 werkzeug - INFO - 127.0.0.1 - - [24/Oct/2024 12:50:13] "GET / HTTP/1.1" 200 -
[ 2024-10-24 12:50:13,231 ] 97 werkzeug - INFO - 127.0.0.1 - - [24/Oct/2024 12:50:13] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
[ 2024-10-24 12:51:36,394 ] 97 werkzeug - INFO - 127.0.0.1 - - [24/Oct/2024 12:51:36] "GET /predict HTTP/1.1" 200 -
[ 2024-10-24 12:54:13,118 ] 66 root - INFO - Dataframe Gathered
[ 2024-10-24 12:54:13,119 ] 54 root - INFO - Exception Occured in load_object function utils
[ 2024-10-24 12:54:13,119 ] 27 root - INFO - Exception occured in prediction
[ 2024-10-24 12:54:13,130 ] 97 werkzeug - INFO - 127.0.0.1 - - [24/Oct/2024 12:54:13] "[35m[1mPOST /predict HTTP/1.1[0m" 500 -
[ 2024-10-24 12:54:13,150 ] 97 werkzeug - INFO - 127.0.0.1 - - [24/Oct/2024 12:54:13] "GET /predict?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[ 2024-10-24 12:54:13,151 ] 97 werkzeug - INFO - 127.0.0.1 - - [24/Oct/2024 12:54:13] "GET /predict?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[ 2024-10-24 12:54:13,169 ] 97 werkzeug - INFO - 127.0.0.1 - - [24/Oct/2024 12:54:13] "GET /predict?__debugger__=yes&cmd=resource&f=console.png&s=z6n64NsxYUOYl7x114UW HTTP/1.1" 200 -
[ 2024-10-24 12:54:13,177 ] 97 werkzeug - INFO - 127.0.0.1 - - [24/Oct/2024 12:54:13] "GET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[ 2024-10-24 12:55:13,632 ] 97 werkzeug - INFO -  * Detected change in '/home/evify/My_Folder/DiamondPricePrediction/src/exception.py', reloading
